설치장소,설치목적,촬영범위,촬영시간,녹화물보관기간,관리책임자,카메라번호,검색용주소,latitude,longitude,좌표변환상태
"경상남도 창원시 성산구 창이대로706번길 16-23, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 창이대로706번길 16-23, 경상남도 창원시 성산구",35.221822828957,128.698230464809,성공
"경상남도 창원시 성산구 동산로176번길 46, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 동산로176번길 46, 경상남도 창원시 성산구",35.2206150668375,128.69800860615,성공
"경상남도 창원시 성산구 비음로4번길 38, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 비음로4번길 38, 경상남도 창원시 성산구",35.2258388588314,128.698819155172,성공
"경상남도 창원시 성산구 창이대로664번길 10, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 창이대로664번길 10, 경상남도 창원시 성산구",35.224479401901,128.697866723063,성공
"경상남도 창원시 성산구 비음로 46, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 비음로 46, 경상남도 창원시 성산구",35.2283242432588,128.700230156678,성공
"경상남도 창원시 성산구 비음로67번길 10, 경상남도 창원시 성산구_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,"경상남도 창원시 성산구 비음로67번길 10, 경상남도 창원시 성산구",35.2270643365674,128.702768973832,성공
"경상남도 창원시 성산구 비음로67번길 10, 경상남도 창원시 성산구_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,"경상남도 창원시 성산구 비음로67번길 10, 경상남도 창원시 성산구",35.2270643365674,128.702768973832,성공
"경상남도 창원시 성산구 창이대로707번길 18, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 창이대로707번길 18, 경상남도 창원시 성산구",35.2223608618195,128.702982486194,성공
경상남도 창원시 성산구 동산로192번길 13,방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,경상남도 창원시 성산구 동산로192번길 13,35.2235220877021,128.696982992101,성공
"경상남도 창원시 성산구 창이대로722번길 12, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 창이대로722번길 12, 경상남도 창원시 성산구",35.2200503534165,128.699941784597,성공
"경상남도 창원시 성산구 창이대로719번길 31, 경상남도 창원시 성산구",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,,"경상남도 창원시 성산구 창이대로719번길 31, 경상남도 창원시 성산구",35.2220705489573,128.704514730168,성공
"경상남도 창원시 성산구 정동로162번길 31, (남산동-대우아파트 203동)_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,경상남도 창원시 성산구 정동로162번길 31,35.20411532897,128.693232236543,성공
"경상남도 창원시 성산구 정동로162번길 31, (남산동-대우아파트 203동)_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,경상남도 창원시 성산구 정동로162번길 31,35.20411532897,128.693232236543,성공
"경상남도 창원시 성산구 동산로 162, 경상남도 창원시 성산구_1",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,1,"경상남도 창원시 성산구 동산로 162, 경상남도 창원시 성산구",35.2219723773808,128.693706728087,성공
"경상남도 창원시 성산구 동산로 162, 경상남도 창원시 성산구_2",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,2,"경상남도 창원시 성산구 동산로 162, 경상남도 창원시 성산구",35.2219723773808,128.693706728087,성공
"경상남도 창원시 성산구 동산로 162, 경상남도 창원시 성산구_3",방범,전방100M 이내,00:00~24:00,30일,시민안전과장,3,"경상남도 창원시 성산구 동산로 162, 경상남도 창원시 성산구",35.2219723773808,128.693706728087,성공
