경로당명,도로명주소
 성원5단지2경로당 ,경상남도 창원시  성산구 원이대로 774 성원아파트 5단지
 대동아파트경로당 ,경상남도 창원시  성산구 동산로 115 대동아파트
 상남경로당 ,경상남도 창원시  성산구 단정로58번길 6
 동산경로당 ,경상남도 창원시  성산구 동산로54번길 17
 고산경로당 ,경상남도 창원시  성산구 비음로 55번길 6-22
 사파정경로당 ,경상남도 창원시  성산구 동산로 176번길 52
 사파경로당 ,경상남도 창원시  성산구 창이대로 684번길 30
 신덕경로당 ,경상남도 창원시  성산구 창이대로 639번길 11
 사파제2경로당 ,경상남도 창원시  성산구 창이대로 719번길 8-15
 사파대동(아)제1경로당 ,경상남도 창원시  성산구 신사로 106
 사파대동(아)제2경로당 ,경상남도 창원시  성산구 신사로 106
 삼익(아)경로당 ,경상남도 창원시  성산구 원이대로 773번길 13
 무궁화(아)경로당 ,경상남도 창원시  성산구 동산로 148
 사파동성(아)경로당 ,경상남도 창원시  성산구 창이대로 737
 성원3차남산(아)경로당 ,경상남도 창원시  성산구 대암로 126
 성원3차(아)경로당 ,경상남도 창원시  성산구 대암로 82
 대방대동(아)경로당 ,경상남도 창원시  성산구 대정로 142
 대방개나리1차(아)경로당 ,경상남도 창원시  성산구 대정로 149
 대방덕산1차(아)경로당 ,경상남도 창원시  성산구 대정로 131
 대방덕산2차(아)경로당 ,경상남도 창원시  성산구 대암로 272
 대방그린빌(아)경로당 ,경상남도 창원시  성산구 대암로 256
 대방동성(아)경로당 ,경상남도 창원시  성산구 대암로 282
 대방대동디지털(아)경로당 ,경상남도 창원시  성산구 창이대로 881번길 8
 대방대동황토방(아)경로당 ,경상남도 창원시  성산구 창이대로 881번길 19
 가음정경로당 ,경상남도 창원시  성산구 가음정로 11(가음정동)
 더샾센트럴파크경로당 ,"경상남도 창원시  성산구 원이대로863번길 19(가음정동, 창원더샵센트럴파크아파트)"
 은아(아)경로당 ,"경상남도 창원시  성산구 원이대로883번길 6(가음정동, 은아아파트)"
 소라(아)경로당 ,"경상남도 창원시  성산구 성산패총로178번길 51(가음정동, 소라아파트)"
 우성(아)경로당 ,"경상남도 창원시  성산구 대암로 22(가음정동, 우성아파트)"
 롯데(아)경로당 ,"경상남도 창원시  성산구 대암로 56(가음정동, 롯데아파트)"
 동성(아)경로당 ,"경상남도 창원시  성산구 대암로 64(가음정동, 상남동성아파트)"
 성원1차(아)경로당 ,"경상남도 창원시  성산구 대정로 73(가음정동, 성원1차아파트)"
 성원2차(아)경로당 ,"경상남도 창원시  성산구 대정로 99(가음정동, 성원2차아파트)"
 피오르빌(아)경로당 ,"경상남도 창원시  성산구 대정로 84(가음정동, 피오르빌아파트)"
 대방경로당 ,경상남도 창원시  성산구 가음로57번길 16-21(가음정동)
 음지경로당 ,경상남도 창원시  성산구 가음로57번길 16-21(가음정동)
 가음동경로당 ,경상남도 창원시  성산구 가양로52번길 27(가음정동)
 개나리3차(아)경로당 ,"경상남도 창원시  성산구 대정로 100(남양동, 개나리3차아파트)"
 한림(아)경로당 ,"경상남도 창원시  성산구 대암로 8(가음정동, 한림엘리시온아파트)"
 위드파크(아)경로당 ,"경상남도 창원시  성산구 가양로 99(남양동, 위드파크아파트)"
 남산경로당 ,경상남도 창원시  성산구 가음로101번길 6-8(가음정동)
 가음꿈에그린경로당 ,"경상남도 창원시  성산구 원이대로878번길 9(가음정동동, 창원가음한화꿈에그린)"
 창원센텀푸르지오경로당 ,"경상남도 창원시  성산구 가음정로 59(가음정동, 창원센텀푸르지오)"
 성남경로당 ,경상남도 창원시  성산구가음로64번길 8(가음동)
대우(아)경로당,"경상남도 창원시  성산구 정동로 162번길 31(남산동,대우아파트)"
불모산경로당,경상남도 창원시  성산구 불모산로 66번길 11(성주동)
삼정자경로당,경상남도 창원시  성산구 삼정자로51번길15(성주동)
서광파크빌(아)경로당,"경상남도 창원시  성산구 안민안길 50(천선동,서광파크빌)"
신우에이스타운경로당,"경상남도 창원시  성산구 안민안길 8(안민동,신우에이스타운아파트)"
안민경로당,경상남도 창원시  성산구 안민로 117번길 17(안민동)
 유니온빌리지(아)경로당 ,"경상남도 창원시  성산구 삼정자로 79(성주동,유니온빌리지아파트)"
청솔(아)경로당,"경상남도 창원시  성산구 안민로 101번길 29(안민동,안민청솔마을대동아파트)"
프리빌리지경로당,"경상남도 창원시  성산구 대암로 253(성주동,프리빌리지아파트)"
프리빌리지2차(아)경로당,"경상남도 창원시  성산구 창원대로 1209번길 22(성주동,프리빌리지2차)"
한림푸르지오(아)경로당,"경상남도 창원시  성산구 외리로34번길 13(성주동,한림푸르지오아파트)"
한솔(아)경로당,"경상남도 창원시  성산구 안민로 161(안민동,한솔마을대동아파트)"
